sto,vol_bucket,vol,ifr,delivery_rel,sto_total,pct_of_sto_vol
APS Home Improvement,local_wrong_hub,63745,0.9223939132480983,0.8989881559337997,149932,0.42515940559720405
APS Home Improvement,misshipping,7320,0.8814207650273223,0.7101092896174862,149932,0.0488221327001574
APS Home Improvement,other_closer,24751,0.9166094299220244,0.8932568381075501,149932,0.16508150361497212
APS Housewares & More,aligned,12234,0.9410658819682833,0.8509890469184239,35294,0.3466311554371848
APS Housewares & More,ghost,512,0.7207031249999993,0.6445312500000001,35294,0.014506715022383408
APS Housewares & More,local_wrong_hub,16503,0.9308004605223285,0.9008665091195549,35294,0.46758655862186205
APS Housewares & More,misshipping,1414,0.9158415841584171,0.6958981612446956,35294,0.04006346687822293
APS Housewares & More,other_closer,4631,0.9129777585834585,0.895055063701145,35294,0.1312121040403468
APS K&D,aligned,14505,0.9139607032057918,0.7916580489486381,77717,0.18663870195710075
APS K&D,ghost,2293,0.768425643262102,0.6227649367640653,77717,0.029504484218382077
APS K&D,local_wrong_hub,38257,0.9209295030974736,0.9139765271714972,77717,0.49226038061170657
APS K&D,misshipping,4102,0.9102876645538756,0.7618235007313512,77717,0.05278124477270096
APS K&D,other_closer,18560,0.8887931034482734,0.8975215517241377,77717,0.23881518844010963
APS Mattresses,aligned,6971,0.9165112609381725,0.8456462487448011,24008,0.2903615461512829
APS Mattresses,ghost,517,0.8065764023210833,0.6808510638297872,24008,0.021534488503832057
APS Mattresses,local_wrong_hub,11052,0.9278863554107861,0.8859030039811795,24008,0.4603465511496168
APS Mattresses,misshipping,1068,0.9428838951310864,0.7162921348314611,24008,0.04448517160946351
APS Mattresses,other_closer,4400,0.937954545454546,0.8640909090909091,24008,0.18327224258580474
APS Other,aligned,687,0.9126637554585152,0.851528384279476,3093,0.22211445198836083
APS Other,ghost,84,0.34523809523809523,0.619047619047619,3093,0.027158098933074686
APS Other,local_wrong_hub,1309,0.8815889992360575,0.8945760122230713,3093,0.42321370837374717
APS Other,misshipping,504,0.9067460317460324,0.5833333333333328,3093,0.1629485935984481
APS Other,other_closer,509,0.7288801571709232,0.87229862475442,3093,0.16456514710636921
APS Outdoor,aligned,25168,0.958796884933248,0.829823585505402,119970,0.2097857797782779
APS Outdoor,ghost,4081,0.8431756922322964,0.6437147757902488,119970,0.03401683754271901
APS Outdoor,local_wrong_hub,59266,0.9441838490871678,0.9078054871258381,119970,0.49400683504209386
APS Outdoor,misshipping,7252,0.8837562051847774,0.7850248207391068,119970,0.06044844544469451
APS Outdoor,other_closer,24203,0.923026071148205,0.906127339586003,119970,0.20174210219221472
