dest_region,sto,vol_direct,vol_local,o2d_direct,o2d_local,o2d_delta,ifr_direct,ifr_local,del_direct,del_local,det_direct,det_local
Florida,Storage & Org - Frequency,556,1667,7.4946043165467655,7.116000026167764,0.3786042903790019,0.89568345323741,0.9010197960407919,0.8705035971223022,0.794241151769646,0.8309352517985612,0.7600479904019195
Florida,Tabletop,631,2037,7.446909667194928,6.498502116216558,0.94840755097837,0.8462757527733754,0.8910162002945509,0.8446909667194928,0.8139420716740303,0.8019017432646591,0.7707412862052038
Florida,Upholstery,1424,3430,7.909956304619228,7.398528446786617,0.5114278578326106,0.8441011235955053,0.8842565597667639,0.8532303370786517,0.8131195335276965,0.7387640449438201,0.758600583090379
Florida,Wayfair,1720,4620,7.497093023255814,7.340013324548787,0.15707969870702687,0.8796511627906975,0.8954545454545455,0.8738372093023256,0.8043290043290043,0.8703488372093023,0.7971861471861473
Florida,Youth Furniture & Decor,378,1221,7.214285714285714,7.038681764962534,0.17560394932318069,0.8809523809523809,0.8705978705978706,0.7857142857142857,0.7305487305487306,0.6957671957671958,0.665028665028665
Mid-Atlantic,APS,5909,14415,7.701393276378899,7.077787230338988,0.6236060460399111,0.8542900660010151,0.8980922650017346,0.8747673041123711,0.8051335414498787,0.754780842782196,0.7429760665972946
Mid-Atlantic,APS AEOF,628,2085,7.203821656050955,7.020919483890596,0.1829021721603592,0.8996815286624203,0.8997601918465228,0.8869426751592356,0.7707434052757793,0.8391719745222932,0.7419664268585132
Mid-Atlantic,APS Bedroom,991,2192,7.260343087790112,7.003100145490968,0.25724294229914424,0.907164480322906,0.9005474452554744,0.8536831483350148,0.7682481751824818,0.8284561049445005,0.738594890510949
Mid-Atlantic,APS Decor,506,1159,7.442668744299179,7.081995324599466,0.36067341969971345,0.9031620553359683,0.887834339948231,0.8636363636363635,0.793787748058671,0.8498023715415022,0.7791199309749782
Mid-Atlantic,APS Home Improvement,2542,6503,7.343365996709819,6.9684965116295015,0.3748694850803176,0.8981117230527148,0.8883592188220822,0.8505114083398897,0.8056281716131016,0.8099921321793863,0.7727202829463324
Mid-Atlantic,APS Housewares & More,684,1649,7.75,6.999000846235192,0.7509991537648082,0.9093567251461985,0.9211643420254698,0.864035087719298,0.8295936931473619,0.8640350877192983,0.8156458459672529
Mid-Atlantic,APS K&D,807,1812,7.319702602230484,6.7987470949406,0.5209555072898837,0.9306071871127634,0.9177704194260483,0.8587360594795534,0.7908388520971301,0.8203221809169765,0.7775938189845475
Mid-Atlantic,APS Mattresses,484,1233,7.471074380165293,6.61739923195863,0.8536751482066629,0.8574380165289253,0.8475263584752636,0.824380165289256,0.7550689375506894,0.7851239669421485,0.7210056772100568
Mid-Atlantic,APS Outdoor,2680,5232,7.190298507462686,6.728847151609989,0.4614513558526978,0.8977611940298508,0.9224006116207951,0.8671641791044777,0.8115443425076453,0.8037313432835819,0.7771406727828748
Mid-Atlantic,APS Upholstery,1165,3078,7.663519313304721,7.22864663478577,0.43487267851895073,0.8806866952789699,0.907732293697206,0.8472103004291845,0.8083170890188432,0.7725321888412017,0.7589343729694609
Mid-Atlantic,APS Youth,877,1972,7.625997719498289,7.020557787677453,0.6054399318208361,0.8757126567844926,0.8651115618661258,0.8700114025085519,0.7718052738336714,0.848346636259977,0.7576064908722109
Mid-Atlantic,Casegoods,1384,3366,7.671965317919075,7.046451190213393,0.6255141277056824,0.8547687861271673,0.8808674985145574,0.8164739884393064,0.7664884135472371,0.7723988439306358,0.7557932263814616
